Room,Type,Capacity
ANXCN 005,Both,25
ANXCN 014,Both,25
ANXCN 101,Both,26
ANXCN 103,Both,25
ANXCN 105,Both,26
ANXCN 107,Both,25
ANXCN 108,Both,25
ANXCN 201,Both,25
ANXCN 202,Both,26
ANXCN 203,Both,26
ANXCN 207,Both,25
ANXCN 209,Both,26
ANXCN 210,Both,25
ANXCN 301,Both,25
ANXCN 302,Both,25
ANXCN 306,Both,25
ANXCN 313,Both,25
ANXCN 314,Both,15
ANXSO 004,Both,25
ANXSO 013,Both,25
BEATT 401,Both,25
BEATT 402,Both,25
BEATT 402A,Both,25
BEATT 402B,Both,25
BEATT 403,Both,26
BEATT 418,Both,25
BEATT 419,Both,25
BEATT 420,Both,25
BEATT 421,Both,25
BEATT 426,Both,25
CEIS 310,Both,25
CEIS 414B,Both,25
CEIS 418,Both,25
CEIS 422,Both,25
CEIS 423,Both,25
DOBBS 003,Both,25
DOBBS 007,Both,24
DOBBS 203,Both,25
DOBBS 302,Both,25
DOBBS 306,Both,25
DOBBS 307,Both,25
DOBBS 308,Both,26
DOBBS 310,Both,28
IRALL 211,Both,25
KNGMN 201,Both,27
KNGMN 202,Both,27
RBSTN 103,Both,25
RBSTN 104,Both,25
RBSTN 105,Both,25
RBSTN 201,Both,25
WATSN 001,Both,25
WATSN 002,Both,27
WATSN 004,Both,25
WATSN 006,Both,26
WENTW 003,Both,24
WENTW 004,Both,25
WENTW 010,Both,25
WENTW 205,Both,25
WENTW 206,Both,27
WENTW 207,Both,25
WENTW 208,Both,25
WENTW 210,Both,25
WENTW 212,Both,26
WENTW 214,Both,27
WENTW 305,Both,25
WENTW 306,Both,25
WENTW 307,Both,26
WENTW 308,Both,18
WENTW 310,Both,25
WENTW 312,Both,25
WENTW 314,Both,25
WILLS 102,Both,32
WILLS 105,Both,27
WILLS 202,Both,27
WILLS 204,Both,26
WLSTN 001,Both,24
