Location,Cap
ANXCN 005,25
ANXCN 014,25
ANXCN 101,26
ANXCN 103,25
ANXCN 105,26
ANXCN 107,25
ANXCN 108,25
ANXCN 201,25
ANXCN 202,26
ANXCN 203,26
ANXCN 207,25
ANXCN 209,26
ANXCN 210,25
ANXCN 301,25
ANXCN 302,25
ANXCN 306,25
ANXCN 313,25
ANXCN 314,15
ANXSO 004,25
ANXSO 013,25
BEATT 401,25
BEATT 402,25
BEATT 402A,25
BEATT 402B,25
BEATT 403,26
BEATT 418,25
BEATT 419,25
BEATT 420,25
BEATT 421,25
BEATT 426,25
CEIS 310,25
CEIS 414B,25
CEIS 418,25
CEIS 422,25
CEIS 423,25
DOBBS 003,25
DOBBS 007,24
DOBBS 203,25
DOBBS 302,25
DOBBS 306,25
DOBBS 307,25
DOBBS 308,26
DOBBS 310,28
IRALL 211,25
KNGMN 201,27
KNGMN 202,27
RBSTN 103,25
RBSTN 104,25
RBSTN 105,25
RBSTN 201,25
WATSN 001,25
WATSN 002,27
WATSN 004,25
WATSN 006,26
WENTW 003,24
WENTW 004,25
WENTW 010,25
WENTW 205,25
WENTW 206,27
WENTW 207,25
WENTW 208,25
WENTW 210,25
WENTW 212,26
WENTW 214,27
WENTW 305,25
WENTW 306,25
WENTW 307,26
WENTW 308,18
WENTW 310,25
WENTW 312,25
WENTW 314,25
WILLS 102,32
WILLS 105,27
WILLS 202,27
WILLS 204,26
WLSTN 001,24
